"難易度","曲名","譜面種別","レベル","1位でらっくスコア","理論値","理論値比率","DXスター","プレイヤー","達成日時","ランキング更新日時","詳細URL","取得状況"
"MASTER","Cryptarithm","DX","14+","2966","2985","99.3635%","5","ＲｅＭｉＲｉＡ","2024/12/20 23:47","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=80519c3ced64eafbdc11cc4c83c72d15f0d12f17a2619ecdc5073c54d27e90555eb3306babafea4d672a37667643be4072876fc7e2c9e04be1e4726fe255b122PUTdr7ts2kJlKek31Gmq9I730noSX6snzuhupyyUbIk%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Customized Justice","DX","14+","3177","3228","98.4201%","5","ＲｅＭｉＲｉＡ","2025/10/16 22:16","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=28f165faf826690af627b0b65a749d00b2e867191133686f7de350870f5f2b20b0d67edb3b1dcf230b7aa5de53c95c7fb272e9a232e13fa8ffe2062d4a1177ccT%2B58miYFCC5ycOQK28kURkem6w%2BVJNYaE3KdatiECpo%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Divide et impera!","DX","14+","3618","3675","98.4490%","5","ＲｅＭｉＲｉＡ","2024/11/25 16:07","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=c6dbf8a0aac5475cacc14b880e43532261d55eaeed19631c025458140916243fb33cfe6420c628320e18c7201bdf260cd7a94f42b397508e6435db5861683361VqzvSqil08Als3jYNpobVNFJ0QZgJHD59IaDw%2BResyk%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","End Time","STANDARD","14+","2799","2847","98.3140%","5","ＲｅＭｉＲｉＡ","","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=b68617207a84a2eca224b00d9737d68ea5005f9c5693ec1f2ef59bcc741a8337c84853756b9a0468a86b83fdb84052373c2502232f49c3bbba73a72f477e2d725HhejSfuKUsugVV%2FxGtAplwsk6v3wmgAZpWPboMtuQs%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Excalibur ～Revived resolution～","STANDARD","14+","2904","2922","99.3840%","5","ＲｅＭｉＲｉＡ","2024/06/11 20:09","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=fbd3561685f575c04e3efa7f57497713097ed37caadae0650550aa938d1e92e6df20b73dc8bccd9616016383b6963280f3ea8908424b8e77d2f393496e720c43iRVzY2L3RVmHP9QNR%2B4tR1H3WmzT%2FIf3hyDM3J56%2BIA%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","False Amber (from the Black Bazaar, Or by A Kervan Trader from the Lands Afar, Or Buried Beneath the Shifting Sands That Lead Everywhere but Nowhere)","DX","14+","3532","3576","98.7696%","5","ＲｅＭｉＲｉＡ","2025/11/26 21:09","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=e8d2834eddc3d88d6b028a26c175577cdb2f42a1f9048e30665a0c0a09473fd94363b1620e4c41ac18a1b33bc09078f98b6af8d5844df659667f441920950510OOr95yFPs66exSGaZRJBVRFsjodhCuvr8vY2AvO5HZo%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","FLΛME/FRΦST","DX","14+","3104","3138","98.9165%","5","ＲｅＭｉＲｉＡ","2025/05/11 15:50","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=c0e922966d0e726992537e78271e7ec4a9bb953edd1f175179e14d71e27e15be582780ffdbb3614d965c838557cec883264b235f282db8531e2d4a19554ff541nuFOBZa2itUMqco%2F4Fn4t%2Fi6SXClv51uVvr9EWr0gMU%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Get U ♭ack","DX","14+","2969","2997","99.0657%","5","ＮＯＮ＊ＲＪ","2025/11/07 18:07","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=3f326b5046b1b63b8ee92056220a8b1b0f91a875e1f1bb28955f0ca6fbec2259c417b9ee14226c2fd917321d74f4ef0d6a1c26c470639fd2ac88a23e0427540bwcV%2FAxNUJPKvU%2FT8%2BRbWu3Lp%2FjQDgMLVVWQfuTV%2FTUg%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","GIGANTØMAKHIA","DX","14+","3427","3447","99.4198%","5","ＲｅＭｉＲｉＡ","2025/10/20 15:59","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=3e80358040711fd62a7f9aec3ebd16f3f9e974b453552b781e7ca6735cebed7beb66f98af45c88de29a56df01094bb0308962a4f8e823445ff770c3142668a4b8jvEFuqQuKX2bCoBWyN52K1UnJ3P9Z7GiFyc8QoR%2BSk%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Glorious Crown","STANDARD","14+","3394","3450","98.3768%","5","ＲｅＭｉＲｉＡ","2023/08/12 16:47","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=fa7ddd85af4b87f248039d2e243ce1fd588b677ff1cf213bcedbfdc73585f9e08659abc6654fbf9ed8892dfcb5ecdbf21f436a263abe78085d09901235a8b289ksb0YrO5qRWQ138Vh7%2BGKyokeehIzr1%2BA3W9hABhXqU%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Heavenly Blast","DX","14+","3458","3507","98.6028%","5","ＲｅＭｉＲｉＡ","2024/10/13 22:36","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=a162aff3cfaf214df49c79d4c5fb2606b4e2b34493c30f401c67d90a5fb132b5b225ef2729d3b2a828dd19490ff31c0fccce2ba62e074f7ebe94efe1c579ac8eLgazQrEXOkABWfCk2lzDt0kBOLM9XOI07K4GsnVTCwQ%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","IF:U","DX","14+","2813","2847","98.8058%","5","ＲｅＭｉＲｉＡ","2024/04/13 15:25","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=6cc3ff58a9165c0c5b506569a1cbf59140cb9a896f4cfc73f8c699563a8b25d7ed30370f8f2381ee1ad0b2ad2f45239891a59d8208cfb1ab2e6eefd9ecaaa0e2jswKVwMrVosqPbiXcWY%2Fk6z%2BBNYUJtHMkc7Bj1VABQ4%3D&scoreType=1&rankingType=99&diff=3",""
