"難易度","曲名","譜面種別","レベル","1位でらっくスコア","理論値","理論値比率","DXスター","プレイヤー","達成日時","ランキング更新日時","詳細URL","取得状況"
"MASTER","ViRTUS","DX","14+","3187","3189","99.9373%","5","Ｃｈａｎｄｅｌｉ","2024/12/16 16:30","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=17c8ea5020b3eddc8afaae940e87dba8b5f13e4b6cee1702526a3b52d2d36132c320326e3db01cf25d19063102d2eceac219a46764d86d4a0e3030a09c6d72e22qbxJz%2FtiNmOqDCZLMMB576zdTE8JRPOVLamiLBBuQI%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","WiPE OUT MEMORIES","DX","14+","3286","3315","99.1252%","5","ＲｅＭｉＲｉＡ","2022/11/02 11:34","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=dd94de4e089cfd61242d83a52707e48a5d8f6ee483fdca0a7e38ccaedc6029d47812237d7731306e85ab6e8b2831a9250e86b7ffe749d56943350391b7554313G6iybHgROcsDD0OPURLBSAs25yuEnakTVI1WezuU%2BuQ%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","World's end BLACKBOX","DX","14+","3901","3966","98.3611%","5","ＲｅＭｉＲｉＡ","2025/08/31 17:20","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=f4de54adc8e5f68a922c16ee8946c85a17bd9c11c8e9e231f77ce58725043280e3144e3e98014afaa61cf4c5d60f0f721f94beea99f6cdbb5a29edddf04a6e03YinUrvNiPhWiOgGr69To1cIozahMrSKCk7KQBFuy4yM%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","World's end loneliness","DX","14+","3666","3702","99.0276%","5","ＲｅＭｉＲｉＡ","2025/06/25 18:00","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=c5bb33b4ce479570ea69365331c62c1b6cf7f972da886be2b11183fb4bfa85d80aece7fc26b73503c64cacd349a2201303241fcafb6bf57fc565ffa78d7a8e743q3hY3h5Lr8rRtWmidWncA%2FFwYY0PHUT7NMG7%2Fz6taM%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Xaleid◆scopiX","DX","14+","6457","6543","98.6856%","5","ＲｅＭｉＲｉＡ","2025/09/17 14:52","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=c238a04f379b3198927d704ccdb2aed843b6a2560be85eb279b7149e18f636cdf9db0927edabf8947cbbdc9b5fc5d3fcc8fd794573694509112cd4adc3bd9deaDAAqQM2wt7%2F4IwIHA%2FhJYOSfiXjR%2B%2FOGMS%2FUB8qSBFA%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Yorugao","DX","14+","2836","2862","99.0915%","5","ＲｅＭｉＲｉＡ","2025/07/07 14:24","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=feb03ad64f28b4c833362d1e557307fa59ab40e14c80bb10e85c84bc1def9dc085feb8ec7194022fd939dca0632b790f9d6444951d3dd675629d8131e3794d1biyZisLdDSQjHtRIcg9psGeZvQpQXRJerr8sQKLhtyEY%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","ガラテアの螺旋","STANDARD","14+","2553","2577","99.0687%","5","ＲｅＭｉＲｉＡ","2025/06/07 15:43","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=2afb86a8edc7a8d9000b36a2ff18a6eed407c7e7b97330a37576f7c3155ed004028b1c307b63fa24732507e8c7b17a99419aa275eeb0265a3998bde7109a5c23yYnaBhUR4ILE1opz9rH4VMFQIDI5TqCUooT2j1V0Y18%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","ジングルベル","DX","14+","2766","2787","99.2465%","5","ＲｅＭｉＲｉＡ","2022/12/23 15:15","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=42699a3c8361f42a1d788265a30c6b162f2cd3b9ad393ba7144096475acb0cedeab115959a2b7fb836ff25175f897f7f623163841610d8f611938ba4c1bd3e99gVKSSq5l9dCjFNxk03y%2BtPu%2BZFwyWI3QTn3gl%2BcYlqg%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","チューリングの跡","DX","14+","2851","2868","99.4073%","5","ＲｅＭｉＲｉＡ","2024/04/07 17:07","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=ec1f4c9d795f43864a1acd1780a6c56d01fa918f21eaabc2120ad1ce943d06666b0bd7bbd7841dc84f4abb885bb776608a0cf2bb841d82fdcfe38ea52fcda28erlHrWFgTLVvyV%2FaaXfTRuAq1PSNEJ0Z4M9FtxX3HK5A%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","ラストピースに祝福と栄光を","DX","14+","4143","4197","98.7134%","5","ＲｅＭｉＲｉＡ","2025/12/05 19:02","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=1134c3357955f51cc24d7e8c3464e28ca7b33988ac7c5b9f439f97596a240c9a11dd80e452bc653a6c40c7004e9b067964d2e54cb631311ff7d41f7bf1451f22vom7Lfw4wCHG8pun04WchDNVQ7Hce7w0o0jn7yI5SJQ%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","雨露霜雪","DX","14+","3602","3633","99.1467%","5","ＲｅＭｉＲｉＡ","2025/04/16 22:59","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=e54398e03550009fdecd212212bcadb008d4cd2d22881f8e95f32f2629ade7f705387e44c3f28386327331a8946374c5d83aa2fe04029519bbb30e9c831c7b48N4silX4VEDpI2Xy9W85oc6QYzHqqpQki6FAfXlUEdLw%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","渦状銀河のシンフォニエッタ","DX","14+","3613","3642","99.2037%","5","ＲｅＭｉＲｉＡ","2025/04/20 01:13","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=19a98a604a55e70d213d4f4ccd3c1a9d9338da71a9347d27346ea92064e442fb62b875aaabd0da468f66bfdc38577e3651228cc4a843281bcea93e3c7237f411ruCz%2FqEIBqlCSrVBuEng3Y8f4i%2BwDZloCMHtuZ2tvW4%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","躯樹の墓守","DX","14+","3074","3114","98.7155%","5","ＲｅＭｉＲｉＡ","2025/02/26 23:46","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=30bec258622bac25d306ede83322b30302ba8a5654d31241c4e411da0dc4ec6b3fd0b7aac6f29f585170a5d5a2a5d852cfaad147c82c0b11185012330c80e22b4nWAlA58uvXWR%2FvPfwWxU8ekjsdBp61%2FZLMYQp1vSpc%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","系ぎて","DX","14+","3545","3600","98.4722%","5","ＲｅＭｉＲｉＡ","2024/12/31 22:14","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=7497c909912e41ff6f91a12ba87fef13725a573032fc69636f5106c966d526cdfcb8d99e6feca3d5e4e6ccef6b4669521edc92c9dda7a0159b95bccaa5871b3eGq9vzk7Hrb845SbWsI%2FkoIxcyujAYi4208DHOqjAjlE%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","康莊大道","DX","14+","3346","3387","98.7895%","5","ＲｅＭｉＲｉＡ","2023/11/22 19:52","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=d663a2b31f8c97dbd78c80503e1cc8b01974d8913ef416b33d104c43e444830b2eed35e9f439242aa5a1638fa913e01089771e2857143ef69e6e5ef93d5892d6s8QxxxkCbugKmosnKjh%2BcHrqVxYkr57Ra7CFLeAEuhQ%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","神威","DX","14+","3757","3789","99.1554%","5","ＲｅＭｉＲｉＡ","2025/01/20 14:06","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=7cad4c674e2cb6eb448b92282d833652a363fcdb166dc07e5d64dcd0c9dac4fbbafee62b111c798adbb0f67991af639640b2b755c8fe8ee69e1ed688cb95031eM3I%2FmczOwE7DubLeyl10bsWxqRAbXXG%2FEZvIuwE2qmY%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","宙天","DX","14+","3126","3174","98.4877%","5","ＲｅＭｉＲｉＡ","2025/06/03 21:48","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=8ea9e20f57d89c8aa3920c4d9ee7fd8b4fac1a72bab5746b07784b3e87a95d45cecb58cca22d0c28ad8483098cb6b1f64b3f5b03ba9f632c91d7cc27fd23c47bzHHONaiKgINYfUxXUYTisDvypWKzQ0zvx3o41O7SNQQ%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","超熊猫的周遊記（ワンダーパンダートラベラー）","DX","14+","3090","3123","98.9433%","5","ＲｅＭｉＲｉＡ","2024/07/23 20:46","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=cfe3727084f56a656373081061118a9cb44debe1055a09983f8701c652ddbc77fe4e563eb0d4baeb7aa62f8df91da48631fee85e40f8f733f83ad9ab5513776eKimpWAwuDy%2Fa2Ou0U2ATuZqJEE22YVpn2aGXRCAO52g%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","怒槌","STANDARD","14+","3537","3564","99.2424%","5","ＲｅＭｉＲｉＡ","2024/12/09 22:08","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=a31c3adc67ec7e2a7812190c1bef0eda63103b7c421db693f0356cff56d5480c5e3ea7dab66798b6d42e1a409c1936864e65d67c7ffbfee7b73cfb316e9b8a257kqAoXeI57TpurmN9u1NkdKktDrdtsVoVoXc3D4peOc%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","脳天直撃","DX","14+","3832","3888","98.5597%","5","ＲｅＭｉＲｉＡ","2021/12/14 20:08","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=522f7dbdfa1bc17b875dd37374a170d6aabda403a0762c5e29298066b122653504eb217022de732266785be0c16555bdb53b77ec148ffb8d2753323439b4d160qbgclpR%2Fn2yDk4Ic2JSj6RvFT8rF9I7eriq%2BGEAExvI%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","氷滅の135小節","DX","14+","3340","3375","98.9630%","5","ＲｅＭｉＲｉＡ","2025/06/19 22:47","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=c0dcdf340bb857faf1841fadb91885ad9a5b4305791c1fdf22b74fcd9ba9eb2ca6b046e601f40b0d6f1d9beef7a03136f39fe46f27e54f1d6312d4bf3e1196ebs3nRr0rIsDoqoqAIUad2kd%2BtCvh3uwVTthKPI5k4htw%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","封焔の135秒","DX","14+","3259","3276","99.4811%","5","ＫＥＩＴＡ・∀・","2026/08/05 15:44","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=8e82be34e47f6639b1ca3b030582ef8dabe3c7d1adbbb8addf07641951e31e6f1795ac9086b5099fa2ede5d0fdb40ff162402125d9ab3ded9ce7e156ff673413Nxk4j8Bil2JhfzC9EB3jwQSfUhZd3ps3HgXr8DNXyno%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","雷切-RAIKIRI-","STANDARD","14+","3512","3570","98.3754%","5","ＫＥＩＴＡ・∀・","2026/01/09 19:36","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=cda3cf53b7ad66d065cce05e458c095ebca97c961fd1439f996203f18f2dc087a5d164c732cdb1b5fb2634b9662566dcdd80efb2ce7f58f9bd0fc4686a770e33k7y9NxgkfqRD5RQODjifWCzUqS79BQ%2B3ZKkxnqsbf44%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","零號車輛","DX","14+","3378","3429","98.5127%","5","ＲｅＭｉＲｉＡ","2026/01/23 14:25","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=b69b912e04b21da442dd70d2ad3f9332ad477a0ea960de67052b23525d3073859b5d6a1bb877716bd2acce48418b08a4d86131aa7943a80b2da12b767f413958%2FXkcIsOLwhXsqNzRMh8cx80EiOwiRhJpD4UJMlYflQU%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Λzure Vixen","DX","14+","3832","3867","99.0949%","5","Ｒｉｆｗｉａ","2025/07/03 12:22","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=bfa631f0d577c881e6346378ed3da5f2e5f20cb12d93021914a5ace5870c99b09bb4a8643419b8dced0e02b3f6615126c23f76fd64d02fb55169ff812333bb87zq75Sf2v%2FnGYRAV9Yib9GAb%2FXXdaE5Iv9oSPVd2rmmI%3D&scoreType=1&rankingType=99&diff=3",""
"Re:MASTER","Alea jacta est!","STANDARD","14+","3348","3411","98.1530%","5","ＲｅＭｉＲｉＡ","2023/07/13 23:34","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=9a04bec6777b9f31e0df567bedb01a409569c5fccd24a377d8945d7cb61a23e6a6e148bbc51d01ad9330f1b6e04694a13c4d3b9c5cb2fc02baf913fa4a410c4bi1rhO2aIZQiLL%2BF6JkGNuQuR%2Fxjtc%2BU1zGrPHGXuYUI%3D&scoreType=1&rankingType=99&diff=4",""
"Re:MASTER","Fragrance","STANDARD","14+","1951","1965","99.2875%","5","ＲｅＭｉＲｉＡ","2025/01/02 22:31","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=e640fa29efb62c9ffd51e9417cfffa8ca22627010c962c82d7124731c93566cac81ee8fb7db1ab40d4cf7e94586c2c0fd92fb24cb56c9055807d27c3b73c9199eJsUB%2Frzq8UeC2KO2huGSg1jWR%2B9dy0%2FG7jcbOrA34o%3D&scoreType=1&rankingType=99&diff=4",""
"Re:MASTER","Garakuta Doll Play","STANDARD","14+","3002","3030","99.0759%","5","ＲｅＭｉＲｉＡ","2025/04/10 21:45","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=d1efe29051f13d24c0fe81b60ca27f74e867760485d73b85a8e5fd5b69fad99638da772bb32576b64e60e5a91aa71ad92bb52ea214c8f40bdeb46c8cd3f33ff8lgcxoaXWqNrnA8gpdSqFknyMhwdmkaBrJXoy6vwm7S4%3D&scoreType=1&rankingType=99&diff=4",""
"Re:MASTER","In Chaos","STANDARD","14+","2588","2640","98.0303%","5","ＲｅＭｉＲｉＡ","2023/07/12 21:45","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=b7ca3cb37bd829cf9f0154f80c632e9c17b081619d97475f65296e623da9cda6af0fea42809f3f07f08634e09ccd66c772b6a9b7c1b0f2fe753b529e051abf15g1Q07LrjxkjLq1XRzrs0pzKlpD615pZIlBc2KFm5olw%3D&scoreType=1&rankingType=99&diff=4",""
"Re:MASTER","QZKago Requiem","STANDARD","14+","3510","3543","99.0686%","5","ＫＥＩＴＡ・∀・","2026/06/18 19:48","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=e05f1c269cb17217e888ed9d19d714a46905552ae6ee0600a09f162179d038c90561f98d0060bf52e02b3c886b82544ffdb737a0992a9059e07cc9ed4fb6e379YANqPdMc9ElgHe0QiTEpSNGX2BJxnCvr0mB659p3oXI%3D&scoreType=1&rankingType=99&diff=4",""
"Re:MASTER","Schwarzschild","STANDARD","14+","2573","2625","98.0190%","5","ＲｅＭｉＲｉＡ","2023/07/09 19:13","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=b62380134217f38074d88fbdc7e9f535884e2001ea0ab0bc9e952a7abe16f495beb80a0132490ed69e0d1dd4b1dd13381b44ae343ad3a0da5fefdbe6f19b144esKX3Ja0GhG2O3NfcSii6ml8YKR4YBP9t9tHnA9whquk%3D&scoreType=1&rankingType=99&diff=4",""
"Re:MASTER","the EmpErroR","STANDARD","14+","3136","3171","98.8962%","5","ＲｅＭｉＲｉＡ","2024/12/23 21:33","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=94f8fdaffc1f15be1a33a1bdc92030722f58a493260b7cb3142b366e5dfb5d4514eb148b99ac7d09a05ddac677cc5de95107c2ffb45d37508ed4d152b9bbff36AB8Hc%2BDN8mJV5DhYHCGIop4EjRAiq0fGNOEZ2XqUU84%3D&scoreType=1&rankingType=99&diff=4",""
"Re:MASTER","ガラテアの螺旋","STANDARD","14+","2660","2697","98.6281%","5","ＲｅＭｉＲｉＡ","2024/07/30 18:26","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=d8a00252284be91487ef01a2ffbe2a8d576ab8cbab168d0b03cc97b8a6747b23a418a61d5388cea8a666d1902f7c9b1e6cc9375874cc32fd250c35297cdfe5d1MTYxlhWe%2Bm51XKDnKvUULqEPrcQjTcTj80Eg0xcREww%3D&scoreType=1&rankingType=99&diff=4",""
"Re:MASTER","源平大戦絵巻テーマソング","STANDARD","14+","2149","2166","99.2151%","5","ＲｅＭｉＲｉＡ","2025/01/02 21:18","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=355fad5191fcc4f9010c977209d40d89e553be0064a5db49007c4119ea72c2792c1547cdb48eef6dc0eda674dc63c51682ca9624be2b9d2a26b850296c82571eXdAvgxw%2FNceVABMOhzweZXCqru4hFCFB4UGdgK0RRtQ%3D&scoreType=1&rankingType=99&diff=4",""
"Re:MASTER","雷切-RAIKIRI-","STANDARD","14+","3431","3501","98.0006%","5","ＲｅＭｉＲｉＡ","2023/06/17 18:07","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=b692e2b86539acd752ca10e89aeb07c6a10328542c9fc746ecc95f93912dec4eb7e19e64ae7667c0e6e71d55b45ffee803c3392a2930adf3d42b58ac369ddcafeeu404YKUnrJZGtCha43nm98b6qOZJCDs2aZDQjaK%2B0%3D&scoreType=1&rankingType=99&diff=4",""
